"","Method","region","n","Trials","Parameter_Pov","Lower_Pov","Upper_Pov","Population_Pov","Parameter_Med","Lower_Med","Upper_Med","Population_Med","pov_bound","med_bound"
"67","Clu_100","W","100",2,0.13,0.0629339,0.1970661,0.149803,4525.96,3366.68,5685.23,4728.48,0.0670661,1159.275
"68","Clu_100","W","100",3,0.16,0.0868909,0.2331091,0.149803,5169.79,4243.52,6096.05,4728.48,0.0731091,926.265
"69","Clu_100","W","100",4,0.15,0.0787924,0.2212076,0.149803,5131.42,4409.9,5852.94,4728.48,0.0712076,721.52
"70","Clu_100","W","100",5,0.17,0.0950908,0.2449092,0.149803,5215.9,3549.85,6881.95,4728.48,0.0749092,1666.05
"71","Clu_1000","W","1000",1,0.186,0.161842,0.210158,0.149803,5113.61,4590.79,5636.42,4728.48,0.024158,522.815
"72","Clu_1000","W","1000",2,0.161,0.1381816,0.1838184,0.149803,4942.15,4569.74,5314.57,4728.48,0.0228184,372.415
"73","Clu_1000","W","1000",3,0.166,0.1428991,0.1891009,0.149803,4910.51,4299.18,5521.83,4728.48,0.0231009,611.325
"74","Clu_1000","W","1000",4,0.168,0.1447882,0.1912118,0.149803,4791.79,4448.48,5135.09,4728.48,0.0232118,343.305
"75","Clu_1000","W","1000",5,0.167,0.1438435,0.1901565,0.149803,4682.27,4387.76,4976.79,4728.48,0.0231565,294.515
"76","Clu_O","W","783",1,0.1724138,0.1458977,0.1989299,0.149803,4984.04,4565.39,5402.68,4728.48,0.0265161,418.645
"77","Clu_O","W","783",2,0.1992337,0.1711954,0.227272,0.149803,4390.23,4077.4,4703.07,4728.48,0.0280383,312.835
"78","Clu_O","W","783",3,0.1685824,0.1423019,0.1948628,0.149803,4820.03,4421.68,5218.38,4728.48,0.02628045,398.35
"79","Clu_O","W","783",4,0.1736909,0.1470973,0.2002845,0.149803,4469.23,4141.95,4796.51,4728.48,0.0265936,327.28
"80","Clu_O","W","783",5,0.1634738,0.1375152,0.1894324,0.149803,4772.73,4404.41,5141.05,4728.48,0.0259586,368.32
