"","Method","n","Trials","Parameter_Pov","Lower_Pov","Upper_Pov","Population_Pov","Parameter_Med","Lower_Med","Upper_Med","Population_Med","pov_bound","med_bound"
"88","st_all","1000",3,0.152,0.1297099,0.1742901,0.149803,4544.85,4255.94,4833.76,4728.48,0.0222901,288.91
"89","st_all","1000",4,0.164,0.1410112,0.1869888,0.149803,4669.92,4370.58,4969.26,4728.48,0.0229888,299.34
"90","st_all","1000",5,0.132,0.1109846,0.1530154,0.149803,5063.86,4721.98,5405.74,4728.48,0.0210154,341.88
"91","st_all","5000",1,0.1532,0.1432131,0.1631869,0.149803,4749.82,4595.72,4903.92,4728.48,0.00998689999999999,154.1
"92","st_all","5000",2,0.1524,0.1424345,0.1623655,0.149803,4711.91,4571.68,4852.14,4728.48,0.0099655,140.23
"93","st_all","5000",3,0.1592,0.1490555,0.1693445,0.149803,4762.52,4619.4,4905.63,4728.48,0.0101445,143.115
"94","st_all","5000",4,0.1486,0.1387375,0.1584625,0.149803,4834.36,4659.29,5009.43,4728.48,0.0098625,175.07
"95","st_all","5000",5,0.1502,0.1402938,0.1601062,0.149803,4794.55,4632.32,4956.78,4728.48,0.0099062,162.23
"96","st_all","637",1,0.1302983,0.1040862,0.1565103,0.149803,4790.29,4402.38,5178.19,4728.48,0.02621205,387.905
"97","st_all","637",2,0.1632653,0.1344855,0.1920451,0.149803,4751.22,4381.26,5121.19,4728.48,0.0287798,369.965
"98","st_all","637",3,0.144427,0.1170554,0.1717986,0.149803,5085.96,4671.45,5500.48,4728.48,0.0273716,414.515
"99","st_all","637",4,0.1491366,0.121399,0.1768742,0.149803,4612.54,4250.2,4974.88,4728.48,0.0277376,362.34
"100","st_all","637",5,0.1397174,0.1127218,0.166713,0.149803,4511.48,4155.43,4867.52,4728.48,0.0269956,356.045
